Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

J8         *MOLEX_47352-1001_47352-1001(Primary)     27.3422mm     10.3222mm     27.3672mm     10.0972mm     25.4272mm      6.4372mm  B        180.00 microSD        
C98        SMD_C(0603)         66.8174mm      71.401mm     66.8174mm      71.401mm     66.8174mm     70.6898mm  B         90.00 10uF           
C99        SMD_C(0402)         65.6744mm     71.6804mm     65.6744mm     71.6804mm     65.6744mm     72.1124mm  B        270.00 0.1uF          
D1         LED-DIP_3mm              58mm      2.5654mm          58mm      2.5654mm          58mm      1.2954mm  T         90.00 4301F1/5-A     
D2         LED-DIP_5mm              32mm          70mm          32mm          70mm       30.73mm          70mm  T        360.00 HSDL-4220      
D3         LED-DIP_5mm              48mm          70mm          48mm          70mm       46.73mm          70mm  T        360.00 HSDL-4220      
D4         SMD_LED(0603)       36.2013mm      1.2369mm     36.2013mm      1.2369mm     35.3013mm      1.2369mm  T        360.00 Yellow         
D5         SMD_LED(0603)       45.1675mm      1.2877mm     45.1675mm      1.2877mm     44.2675mm      1.2877mm  T        360.00 Green          
D6         SMD_LED(0603)       75.4026mm     66.1432mm     75.4026mm     66.1432mm     74.5026mm     66.1432mm  T        360.00 SML-D12U1WT86  
D7         SMD_LED(0603)       75.3916mm     67.5656mm     75.3916mm     67.5656mm     74.4916mm     67.5656mm  T        360.00 BLUE           
D8         SMD_LED(0603)        70.844mm     39.7698mm      70.844mm     39.7698mm      69.944mm     39.7698mm  T        360.00 SML-D12U1WT86  
FB1        SMD_R(0603)         24.4856mm      33.932mm     24.4856mm      33.932mm     23.7744mm      33.932mm  T        360.00 220R/100MHz    
FB2        SMD_R(0603)         64.0334mm     62.9174mm     64.0334mm     62.9174mm     64.7446mm     62.9174mm  B        180.00 220R/100MHz    
FB3        SMD_R(0603)         35.8802mm      33.075mm     35.8802mm      33.075mm      35.169mm      33.075mm  B        360.00 220R/100MHz    
FB4        SMD_R(0603)         69.5376mm     33.2674mm     69.5376mm     33.2674mm     69.5376mm     33.9786mm  B        270.00 220R/100MHz    
FB5        SMD_R(0603)         26.6446mm     47.5488mm     26.6446mm     47.5488mm     26.6446mm     46.8376mm  T         90.00 220R/100MHz    
FB6        SMD_R(0603)          8.1494mm     56.4848mm      8.1494mm     56.4848mm      8.8606mm     56.4848mm  B        180.00 220R/100MHz    
FB7        SMD_R(0603)          70.706mm     42.2402mm      70.706mm     42.2402mm      70.706mm      41.529mm  T         90.00 220R/100MHz    
FB9        SMD_R(0603)         35.8802mm     34.4466mm     35.8802mm     34.4466mm      35.169mm     34.4466mm  B        360.00 220R/100MHz    
FB10       SMD_R(0603)         26.5975mm     55.9187mm     26.5975mm     55.9187mm     25.8863mm     55.9187mm  T        360.00 220R/100MHz    
